title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Decomposing Tony Maslow,2009-01-02,en,Decomposing Tony Maslow,"Distraught by a recent breakup, Tony moves into a new house while he finishes his latest book. But what begins as a peaceful setting for his composition, turns deadly. He finds himself implicated in a murder and locked in a fight for his life against someone or something in the house.",Inspiration Can Be Deadly,"Thriller, Drama, Mystery",english,"murder, writer, break-up"
Sitting Bull: A Stone in My Heart,2006-11-01,en,Sitting Bull: A Stone in My Heart,"Award-winning documentary, Sitting Bull: A Stone in My Heart, makes extensive use of Sitting Bull’s own words, giving the viewer an intimate portrait of one of America’s legendary figures in all his complexities as a leader of the great Sioux Nation: warrior, spiritual leader and skilled diplomat. Sitting Bull’s words, as portrayed by Adam Fortunate Eagle, dominate this story. Augmented by a narrator’s historical perspective, over six-hundred historical photographs and images, and a compelling original music score, the film brings to life the little-known human side of Sitting Bull as well as the story of a great man’s struggle to maintain his people’s way of life against an ever-expanding westward movement of white settlers. It is a powerful cinematic journey into the life and spirit of a legendary figure of whom people have often heard but don’t really know.","The great American Indian Lakota Sioux Chief, spiritual leader and warrior as never before seen in a film.","Documentary, History",english,"native american, human rights, lakota tribe"
Wanderers of the West,1941-07-25,en,Wanderers of the West,"In this western, a rancher's son rides out for revenge against the rustlers who killed his father. The pursuit stretches between Montana to Arizona and it becomes more difficult because though the son knows the killer's name, he has never seen his face. Fortunately, the killer doesn't know what the son looks like either.",MYSTERY MAN OF THE BAD LANDS! Neither the law nor the lawless can discover the secret of this two-fisted stranger's past...but they know he's hunting the deadliest killer in the roaring west!,Western,english,"ranch, cattle-rustler"
The Dead Will Rise 2,2013-01-11,en,The Dead Will Rise 2,Horizex sends in a team of six marines to fight the army of the undead.,The war has begun!,Horror,english,"infection, found footage"
Wings of Danger,1952-04-01,en,Wings of Danger,"A former pilot suffering from blackouts discovers that a fellow flyer is suspected of being mixed up with a web of smugglers.  While searching for his missing buddy, he unwittingly becomes entangled in a morass of suspicion.",COUNTERFEIT CARGO! ...a fortune in loot...a fabulous woman...a sinister fugitive!,"Crime, Drama, Thriller",english,"blackout, pilot, film noir"
Conrack,1974-03-27,en,Conrack,"A young, white school teacher is assigned to Yamacraw Island, an isolated fishing community off the coast of South Carolina, populated mostly by poor black families. He finds that the basically illiterate, neglected children there know so little of the world outside their island.",One beautiful man. His story is true.,Drama,english,"island, south carolina, teacher, school, racism, gullah"
The Old Ways,2020-10-16,en,The Old Ways,"Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.",It lives inside you.,"Horror, Fantasy","english, spanish","witchcraft, mexican folklore"
Return to Paradise,1998-08-10,en,Return to Paradise,"Lewis, Sheriff and Tony are three friends vacationing in Malaysia. Sheriff and Tony eventually leave to pursue careers in New York, but Lewis stays behind to work with orangutans. Two years later, Sheriff and Tony learn that, because of their past actions, Lewis has been arrested for drug possession. With Lewis facing a death sentence, the friends are left with a difficult decision: return to Malaysia and split Lewis' sentence, or let him die.",Give up three years of their lives or give up the life of their friend. They have eight days to decide.,"Drama, Thriller, Romance",english,"death penalty, friendship, malaysia, marijuana, childhood friends"
The Desperado,1954-06-20,en,The Desperado,"""Only a fool sticks his neck out for somebody else. Don't get in the habit of it."" Outlaw gunslinger Sam Garrett offers that sage wisdom to fellow fugitive Tom Cameron, who's on the run from the ""Bluebellies,"" Texas State Police officers who wield a brutal iron fist of enforcement in the early 1870s. But quick-draw, hard-bitten Garrett soon decides not to take his own advice after young Cameron heads home to surrender - and instead gets framed for a revenge murder by a jealous rival for the affections of his girl.",Sam Garrett was all bad...all killer...and always ready to prove it!,Western,english,texas
The Mistle-Tones,2012-12-09,en,The Mistle-Tones,"Holly, blessed with an amazing singing voice, is all set to audition for the newly vacated spot in a legendary local Christmas group which was founded by her late mother years ago. Shocked and upset when the slot goes to the barely talented best friend of the group's leader, Marci, Holly sets out to create her own musical group, The Mistle-Tones. After challenging their rivals to a sing-off on Christmas Eve, Holly finds herself on a journey to the real meaning of Christmas with some new friends and a new love thrown in for good measure.",Ring in the rivalry.,"TV Movie, Comedy, Romance",english,"holiday, christmas"
Hidden Figures,2016-12-10,en,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.","Meet the women you don't know, behind the mission you do.","Drama, History",english,"nasa, mathematics, sexism, biography, racial segregation, racism, historical fiction, scientist, space race, discrimination, 1960s, space program, african american history"
Pirates of the Caribbean: On Stranger Tides,2011-05-15,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Live Forever Or Die Trying.,"Adventure, Action, Fantasy","english, spanish","sea, ship, mutiny, captain, spain, england, sword, prime minister, sailing, mermaid, duke, silver, pirate, soldier, battle, swashbuckler, 18th century, aftercreditsstinger, blackbeard, 1750s"
Abel's Field,2012-09-14,en,Abel's Field,"Seth McArdle (Samuel Davis) is a high school senior with an especially full plate. Not only must he navigate the usual social and academic pitfalls of high school, but he has to contend with his young twin sisters, serving as de facto parent in the absence of his deceased mother and deadbeat father. The pressure mounts when the bank calls with a foreclosure warning, and Seth's frustrations spill over into various altercations with the school football team.  An exasperated coach exiles Seth to work after school with Abel the eccentric groundskeeper (Kevin Sorbo). Their relationship starts off cold and rocky, but as the two spend more time together, they realize they have more in common than either thought. The downside: it's pretty much pain and sadness that they share. The upside: God loves them.",Sometimes the heroes are on the sidelines,Drama,"german, english",christian film
David and Goliath,1960-01-22,it,David e Golia,"When the Philistines attack, the Israelites are hopeless against the fierce giant Goliath and don't know what to do. King Saul takes the advice of the prophets and sends an adolescent shepherd, David, into battle to conquer the oversized Philistine. David is victorious and becomes the King of Israel.",Out of an age of splendor and savagery surges a story of the shepherd boy who became a warrior king! Never before seen on any screen!,"Drama, Action, History","english, italian",bible
Mutiny,1952-03-05,en,Mutiny,"Early in the War of 1812, Captain James Marshall is commissioned to run the British blockade and fetch an unofficial war loan from France. As first mate, Marshall recruits Ben Waldridge, a cashiered former British Navy captain. Waldridge brings his former gun crew...who begin plotting mutiny as soon as they learn there'll be gold aboard. The gold duly arrives, and with it Waldridge's former sweetheart Leslie, who's fond of a bit of gold herself. Which side is Waldridge really on?",A mighty epic of the sea thunders to the screen !,Adventure,english,"mutiny, war of 1812"
HABITAT,2021-11-18,en,HABITAT,"In a dead-end room lives a slave of the system, addicted to the computer mouse and a reality show that never ends. Obsessed with an illusion, his dream is to go to the paradise that he has seen in a TV commercial...with just a flick of a finger.",With just a flick of a finger...,"Science Fiction, Thriller, Horror",english,short film
Bag Boy Lover Boy,2014-07-23,en,Bag Boy Lover Boy,"Oddball hot dog vendor Albert is shocked to find himself becoming the bizarre muse of enigmatic NYC photographer Ivan Worthington. But shocks come his way even more so when he finds out how difficult is is to succeed in the art world, leading him to take his own photographs that suit his very unique - and very limited - skill set.",Meet Albert. He really wants to make art.,"Horror, Comedy",english,"new york city, photography, art"
1-900,1994-09-01,nl,06,"Sarah, 30, single, well educated, likes art, places a voice ad for phone sex, inviting replies from men under 35, sturdy and sensual. Wilbert, a chubby middle aged architect, leaves a message that he is Thomas, 32 and well formed. A week later, she phones. She likes his voice, he likes her laugh, so once a week she phones him (he's not to know her last name, where she lives, or her number). Portraits emerge of humor and sadness. He presses for details of her life and tells her about his work; she wants these Thursday calls to be fantasy and release, separate from the rest of who she is. The film dramatizes these tensions of lies and truth, connection and distance. Written by",... sex without hangups,"Drama, Romance","dutch, english","phone sex, erotic"
Inner Demons,2014-06-13,en,Inner Demons,"INNER DEMONS follows an 'Intervention'-style reality show crew that films an episode about a sixteen-year old girl, a former A-student, who is fighting addiction but may in fact be suffering from something even more destructive: demonic possession. The movie is an inquiry into the truth about her - with symptoms that straddle the disturbing and scary intersection between insanity, addiction and true possession.",Exorcise caution.,"Thriller, Horror, Mystery",english,"supernatural, possession, mockumentary, evil spirit, drug rehabilitation, intervention, demonic possession, found footage, addict, heroin addiction"
Blade Brigade,2018-10-22,en,Blade Brigade,Blades has to defeat his ex rival Ajax for the last and final time or pay the consequences.,I Came Here to Blade,"Comedy, Action, Western",english,rollerblades
The price of desire,2014-01-12,en,The price of desire,"In the hedonistic, rapidly shifting Barcelona of the 2000s, three foreign women turn the rules of power, sex, and money on their heads. Through their eyes, this documentary by Lise Reiner unravels the illusions of control, the price of autonomy, and the paradox of independence in a world of men that commodifies desire, challenging who truly holds power in the exchange.","In a city of illusions, desire is the only real transaction.",Documentary,"english, french, spanish","barcelona, spain, social & cultural documentary, observational documentary"
Honey,2003-11-24,en,Honey,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",Her dream. Her terms,"Music, Drama, Romance",english,"career, new york city, dancing, dance, dream, hip-hop, blackmail, harassment, teacher, business, sabotage, choreographer, club, harlem, new york city, youth center"
The Thing Below,2004-01-07,en,The Thing Below,"A top secret drilling platform in the Gulf of Mexico raises a dormant alien creature from the depths. Once loose, the creature goes on a murderous rampage.",Fear is rising,"Horror, Science Fiction, Thriller",english,"telepathy, alien, sea monster, drilling station, government cover-up"
The Hostage Tower,1980-09-19,en,The Hostage Tower,"A flamboyant master criminal and several specialists stage an audacious scheme to capture the Eiffel Tower and hold as hostage one of its visitors, the U.S. President's mother, while the head of a UN security force tries to stop them.","1000 feet above Paris, a group of Master Criminals play a game of death.","Thriller, Crime",english,"hostage situation, eiffel tower, paris"
Bone Daddy,1998-07-19,en,Bone Daddy,"Doctor Palmer, a former pathologist, wrote a fictional book based on his real cases. In the book, the madman gets caught, but in reality he is still uncaught. After the book is released, Palmer's editor is kidnapped. Palmer soon is sent a present containing a page of his book, and a bone from his editor. Together with the police, Palmer tries to find his editor, who might still be alive. In addition, his own son becomes one of the main suspects. Written by Julian Reischl",Dying is the easy way out.,"Thriller, Crime, Horror",english,"gore, corpse, pathologist, editor"
Spielberg,2017-10-05,en,Spielberg,"A documentary on the life and career of one of the most influential film directors of all time, Steven Spielberg.",Direct from the heart,"Documentary, TV Movie",english,"movie business, biography, film director, biographical"
Jack Irish: Black Tide,2012-10-24,en,Jack Irish: Black Tide,"Jack Irish has no shortage of friends, but family members are few and far between. His wife was murdered by an ex-client and his father is a fading photo on the pubs football wall of fame. So when Des Connors, the last link to his dad, calls to ask for help in the matter of a missing son, Jack is more than happy to lend a hand. But sometimes prodigal sons go missing for a reason... As Jack begins to dig, he discovers that Gary Connors was a man with something to hide, and his friends are people with yet darker and even more deadly secrets.",It can pull you under.,"Crime, Drama, TV Movie",english,"melbourne, australia, horse racing, australian rules football, jack irish"
It's Only a Movie,2023-12-02,en,It's Only a Movie,A production of a horror movie unravels as the filmmaker goes insane.,A movie 40 years in the making! Can you tell where the movie ends and reality begins?,Horror,english,"driven insane, sov"
The Taxman,2022-01-14,en,The Taxman,"While checking on her taxes, Mia notices that she owes a lot more than expected. After scheduling an appointment with The Taxman, Mia soon finds herself in a sticky situation.",There's something strange about the IRS,"Science Fiction, Mystery",english,"taxes, plot twist, science fiction, irs"
American Outlaws,2023-09-15,en,American Outlaws,Facing the possibility of prison - and in search of an idealized freedom - 3 siblings take matters in to their own hands with a cross country crime spree of epic proportions.,Family first. Always.,"Crime, Drama, Action",english,"crime family, cross country, crime spree"
There's Something in The Pilliga,2015-01-10,en,There's Something in The Pilliga,"The Pilliga Yowie, - or 'Jingra' - has haunted the Australian outback for centuries, stalking a remote part of New South Wales, where men seldom dare tread, content to keep to itself... until now. Blokish truck driver Jay and his cameraman buddy Dylan journey into the PIlliga National Park with Liz and Tammy, two good time girls they meet in a pub. Things take a sinister turn when a local legend comes out to play - complete with big teeth, sharp claws and a craving for human flesh!","In the Australian Outback, not all that wanders is lost...",Horror,english,"mythical creature, found footage, australian outback"
Failure to Launch,2006-03-10,en,Failure to Launch,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.","To leave the nest, some men just need a little push.","Comedy, Romance",english,"romantic comedy, hotel mom, lying, living with parents, pretend relationship"
Narco Cultura,2013-11-22,en,Narco Cultura,"To a growing number of Mexicans and Latinos in the Americas, narco-traffickers have become iconic outlaws and the new models of fame and success. They represent a pathway out of the ghetto, nurturing a new American dream fueled by the war on drugs. Narco Cultura looks at this explosive phenomenon from within, exposing cycles of addiction to money, drugs, and violence that are rapidly gaining strength on both sides of the U.S.-Mexico border",The Hits Just Keep on Coming,"Crime, Documentary","spanish, english","war on drugs, gang violence, mexican cartel"
Christmas Holiday,1944-07-31,en,Christmas Holiday,"Don't be fooled by the title. Christmas Holiday is a far, far cry from It's a Wonderful Life. Told in flashback, the story begins as Abigail Martin marries Southern aristocrat Robert Monette. Unfortunately, Robert has inherited his family's streak of violence and instability, and soon drags Abigail into a life of misery.",Durbin... In her most dramatic glory.,"Crime, Drama, Mystery, Romance",english,"airplane, flashback, film noir, murder, reporter, catholic church"
Dissociation,2023-07-16,en,Dissociation,"A curious genealogist delves into the history of a vanished family, soon finding herself in a dangerous, life-threatening situation.","Abondon Reality, Or Be Consumed By It",Horror,english,"thunderstorm, atmospheric, creepy, adaptation, lovecraftian, spooky"
My Babysitter's a Vampire,2010-10-09,en,My Babysitter's a Vampire,"Geeky 14-year old Ethan is left to babysit his younger sister, Jane, with his best friend Benny but after Ethan inadvertently puts Jane in harm's way, his parents hire a professional babysitter, the beautiful yet mysterious 17-year-old Sarah who, unbeknownst to them, is actually a fledgling vampire.",No parents. No rules. No pulse.,"Adventure, Comedy, Family, Fantasy, TV Movie, Horror",english,"vampire, babysitter, fan culture"
Ghost of Zorro,1949-03-24,en,Ghost of Zorro,"Although ostensibly the grand-son of the legendary hero, Clayton Moore's Ken Mason is little more than a cowboy in a black mask in this 12 chapter Republic serial. Mason, the head of the telegraph line work crew, assumes his ancestor's trade-mark mask (but not whip) in order to prevent a local czar (Roy Barcroft) from sabotaging the burgeoning telegraph line. Pamela Blake, a brunette starlet formerly known as Adele Pearce, played Mason's imperiled girlfriend, and the serial also benefitted from the usual competent work of Republic's great stunt-performers, including Dale van Sickel, Tom Steele, Eddie Parker, and Joe Yrigoyen.",NEVER SUCH COURAGE NEVER SUCH DARING NEVER SUCH RIDING NEVER SUCH THRILLS,"Adventure, Western, Action",english,zorro
The Accursed,2021-11-12,en,The Accursed,"Hana spends twenty years suppressing a maleficent curse that was placed upon her bloodline, only to have a family member knowingly release it forcing her to kill or to be killed.",Family never forgets.,Horror,english,"curse, witchcraft, severed hand"
Fisher,2021-11-17,en,Fisher,"In the small town of Eden, Tennessee, a neglected and naive teenage girl named Clara Banks has made a habit of deceiving people online for gifts, a gambit known as ""catfishing."" She thinks it's all fun and games until she hooks the attention of the wrong person. A short time later, events set into motion spiral out of control as someone begins stalking Clara and her friends. As the consequences of her actions return to haunt her, twisted messages start showing up at Clara's home, causing her to fear for her life. Will she ever feel safe again now that the evil has come knocking?",A neglected and naive teenage girl uses the internet to deceive people for gifts until she crosses the wrong person and things take a terrifying turn.,"Horror, Mystery, Thriller, Drama, Crime",english,"mask, infidelity, high school, schizophrenia, hacker, ten commandments, computer virus, faith, christianity, attempted murder, church choir, psychology, halloween, bible, hallucination, fraud, twist, carnival, knife, deception, god, halloween party, murder, serial killer, internet, slasher, hacking, killer, belief in god, subversion, mental health, temptation, zealot, jesus freak, somber, catfishing, world wide web, cautionary tale, trunk or treat, this little light of mine, cassandra bryson, brian parks"
3 Strikes,2000-03-01,en,3 Strikes,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting.","the few, the proud, the paroled.","Action, Comedy, Romance",english,sports
By Dawn's Early Light,2001-04-15,en,By Dawn's Early Light,"When Mike Lewis leaves L.A. to stay with his grandfather in Colorado for the summer, he hates the old man's cowboy ways. When Mike demands to go home, the old man agrees and saddles up a couple of horses for a six week trip toward California, home, the Pacific and redemption.",The Adventure of two lifetimes,"Comedy, Drama",english,"grandparent grandchild relationship, colorado, dysfunctional family, coming of age, summer, teenage boy"
Tangin' Time,2022-11-19,en,Tangin' Time,"When a group of college students is tormented by an unseen killer, suspicions arise, accusations are thrown, friendships are lost, and the bodies only pile up. How many will make it out alive? And where did all the figurines go? Find out in the 2022 horror comedy of the year, Tangin' Time.",This Will Make $38!,"Horror, Comedy",english,"college, pizza, orangutan, killer, mystery"
Lesbian Seductions: Older/Younger 53,2016-02-17,en,Lesbian Seductions: Older/Younger 53,Lily Carter is so turned on by Zoey Holloway as she sniffs her panties she slips into sexual lesbian fantasy al them together. Darryl Hanah is jealous that Madelyn Marie is going out with some friends and she wants Madelyn to put some pantyhose on and fuck her with a strap-on. Prinzzess shows up at Jelena Jensen's with a bottle of wine and makes the moves on Jelena. Brandi Love hasn't had a cock in awhile and is very stressed; Jodi West eases all of her stress with surprising her with a strap-on fuck.,Their only sin is unconventional love.,Romance,english,"seduction, lesbian sex, older woman younger woman relationship"
The Public,2019-04-05,en,The Public,An act of civil disobedience turns into a standoff with police when homeless people in Cincinnati take over the public library to seek shelter from the bitter cold.,Every story matters.,Drama,english,"library, cincinnati"
Hero Dog: The Journey Home,2021-03-14,en,Hero Dog: The Journey Home,"Chinook the Alaskan Malamute must lead a shipwrecked blind man out of the wilderness, while the man's children launch a rescue mission of their own.",Never fear the dangers you can't see.,Adventure,english,blind man
Limbos,2014-02-26,en,Limbos,"Katie and Jake want to keep things platonic, too bad the teenage ghost haunting their new apartment has other plans!",Sometimes The Friendzone Can Feel Like Purgatory,"Horror, Comedy, Romance",English,"paranormal, landlord, best friend, ghost"
Land of the Dead,2005-06-18,en,Land of the Dead,"The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city.",The Dead Shall Inherit the Earth.,"Horror, Science Fiction","english, french, haitian; haitian creole, italian, polish, spanish","dystopia, cage, zombie, zombie apocalypse, apocalyptic vision"
Twilight,2021-05-01,en,Twilight,"Feeling lost, a holidayer takes a vacation, only to discover a world that is as banal as it is hyper-real.  A found-footage essay film. A home-movie. A music video. An experimental documentary about the fantasy of air travel.  Taking a tour of the global centres of accumulation - New York, Dubai, Burning Man - Twilight documents the unreal, the mundane and the spectre of ecological collapse.","One day, I will arrive.","Animation, Documentary",english,"found footage, essay film"
The Clean and Narrow,2000-01-21,en,The Clean and Narrow,An ex-convict tries to make an honest living and take care of his girlfriend and her mentally slow brother.,"A Good Man. A Desperate Situation, A Dangerous Choice.",Drama,english,"mentally disabled, ex-con"
The Man Who Lives with Bears,2008-01-03,en,The Man Who Lives with Bears,"A man shows the gentle and agressive side of Brown and Black Bears living with and around them. After ""Grizzly Man"" died in Alaska trying to do the same thing, it's truly amazing to watch this documentary.",Charlie Vandergaw living around Bears and Grizzlies in Alaska.,Documentary,english,"grizzly bear, alaska, black bear"
Trapped,1982-05-28,en,Trapped,"A group of college students accidentally see a local redneck kill his wife. A deadly game of cat-and-mouse ensues, with the students trying to escape the area while the killer sets out to eliminate the witnesses who can tie him to the murder.","When you're cornered like an animal, it's kill or be killed","Crime, Adventure, Thriller, Horror, Action",english,"adultery, chase, camping, college, murder, bear trap, torture, explosion, backwoods, tar and feathers, hunting dog, hikers, canuxploitation, college student, vengeance"
Blonde Ambition,2007-12-21,en,Blonde Ambition,A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.,Small-town girl. Big-time dreams.,"Comedy, Romance","norwegian, english","stripper, friends, best friend"
Three Hearts for Julia,1943-05-21,en,Three Hearts for Julia,"When his wife threatens him with divorce, a reporter courts her again.",Someone gets burned when there's three on a love-match!,"Romance, Comedy",english,husband wife relationship
Thunder Road,1958-05-10,en,Thunder Road,"Unrepentant Tennessee moonshine runner Luke Doolin (Robert Mitchum) makes dangerous high-speed deliveries for his liquor-producing father, Vernon (Trevor Bardette), but won't let his younger brother Robin (James Mitchum) join the family business. Under pressure from both out-of-town gangster Kogan (Jacques Aubuchon), who wants a piece of the local action, and Treasury agent Barrett (Gene Barry), who wants to destroy the moonshine business, Luke fights for his fast-fading way of life.",More Savage Than The Tommy-Gun Massacre of the Roaring Twenties...TODAY'S BILLION-DOLLAR WHISKEY WAR!,"Drama, Action, Thriller",english,"bootlegger, war veteran, car mechanic, hot rod, moonshine, nightclub singer"
Sunshine State,2002-06-21,en,Sunshine State,"A woman and her new husband returns to her hometown roots in coastal northern Florida, and must deal with family, business, and encroaching real estate development.",Greetings from...,Drama,english,florida
When Did You Last See Your Father?,2007-10-05,en,And When Did You Last See Your Father?,The story of a son's conflicting memories of his dying father.,Between every father and his son there is a story to be told.,Drama,english,"parent child relationship, memory, hospital, confrontation, family, dying father, illness, old girlfriend, father son relationship"
Escape,2017-02-17,en,Escape,your mind can be a prison that you cannot escape,escape,"Animation, Horror",english,"stop motion, gothic horror, animation"
Borrowed Wives,1930-08-20,en,Borrowed Wives,"Peter has to be married by midnight or else his inheritance goes to his uncle... Who happens to live in a ""haunted house"".","At midnight Peter Foley's wife can collect a million dollar inheritance- but there is no Mrs. Foley! So he borrows a wife, and that is when the mystery and fun begin.",Comedy,english,pre-code
W.S. Merwin: To Plant a Tree,2016-04-15,en,W.S. Merwin: To Plant a Tree,"A documentary on the life and work of Poet Laureate, two-time Pulitzer winner, and environmental activist W.S. Merwin.",W.S. Merwin: To Plant a Tree,Documentary,English,"poetry, hawaii, pbs, poet laureate, w.s. merwin"
The Snapper,1993-08-06,en,The Snapper,"Sharon Curley is a 20-year-old living with her parents and many brothers and sisters in Dublin. When she gets pregnant and refuses to name the father, she becomes the talk of the town.",She's got a little secret and a lot of explaining to do.,"Comedy, Drama",english,"parent child relationship, rock music, train"
Spell,2020-10-30,en,Spell,"A father survives a plane crash in rural Appalachia, but becomes suspicious of the elderly couple who take him in to nurse him back to health with the ancient remedies.",Evil tales have their roots.,"Thriller, Horror, Fantasy",english,"sheriff, prisoner, escape, gas station, cult, appalachia, lawyer, cell phone, backwoods, ceremony, faith healer, voodoo doll, appalachian mountains, plane crash, rural setting, cannibalism, blood moon, violence"
The Humbling,2014-12-31,en,The Humbling,"Following a breakdown and suicide attempt, an aging actor becomes involved with a much younger woman but soon finds that it's difficult to keep pace with her.",Older but not wiser.,"Drama, Comedy",english,extramarital affair
Emo (The Musical),2014-01-15,en,Emo (The Musical),"When Ethan, an Emo kid who hates almost everything, falls in love with Trinity, a good Christian girl with a passion for life and her Lord Jesus Christ, will they be able to live happily ever after?",What's a love struck Emo to do?,"Comedy, Music, Romance",english,"musical, short film"
Myra Is (Not) Okay,2022-07-16,en,Myra Is (Not) Okay,"A joyful young woman spends her day doing errands for a friend's house party, where she meets a charming young man who sees through her endearing disguise.",What you don't see.,"Drama, Comedy",English,"depression, coming of age, date night"
Island Fever 3,2004-09-22,en,Island Fever 3,"Relax. Take a deep breath and let Island Fever 3 transport you to a sensual world of pure, raw passion, unlike any you've ever known. Experience paradise, where you can live and breathe your every fantasy with the most exotic women the world has ever seen.",Relax. Take a deep breath,"Fantasy, Romance",english,"exotic island, erotic movie"
To All the Boys: Always and Forever,2021-02-12,en,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,You never know where love will lead you.,"Romance, Comedy, Drama","english, korean","based on novel or book, south korea, asian american, seoul, south korea"
The Black Gloves,1992-08-27,it,Bassi istinti,"Linda Forrester, an FBI agent, is sent to Florence to investigate the trade in stolen works of art and the murderous activities of those involved.  She has to work side-by-side with a local police inspector and they soon begin a relationship.  Linda takes advantage of the case to immerse herself in the culture of Florence.",Obsession...passion...deceit...the price for art is murder.,Thriller,"italian, english","erotic movie, sleazy giallo, giallo"
Memorial Time,2023-08-08,en,Memorial Time,A man reflects over his life during a burial.,My heart is a beating clock.,"Horror, Drama",English,"time, death, super 8mm footage, burial, memorial, life"
Enlisted: The Story of 'M*A*S*H',2000-01-08,en,Enlisted: The Story of 'M*A*S*H',"A behind the scenes look at the making of the movie M*A*S*H. The documentary reveals all of the chaos, politics, and conflict that was going on behind the scenes during production of the movie through new interviews done with director Robert Altman as well as Richard Zanuck, who was head of production for 20th Century Fox at the time, and others.",A look behind the making of the movie M*A*S*H.,Documentary,english,"interview, behind the scenes"
The Assassin Next Door,2009-12-03,he,קירות,"In an old apartment building on the wrong side of the tracks, two women, unknown to each other, live across the hall on the second floor. Galia is an assassin involved against her will with the local sex-traffic mafia. All she wants is to reunite with her little daughter that she left back home in Ukraine . Eleanor is a grocery store cashier and a battered wife. She dreams of winning the lottery and running away from her abusive husband. Galia and Eleanor don't know each other, but as neighbors they share two things: an adjoining wall and a strong need to plan their escape. As Galia disobeys her latest contract, a woman target, and Eleanor discovers that she's pregnant, the two women decide to take action against their oppressors in a fight for survival and freedom.",Beware of thy neighbor.,"Drama, Thriller","russian, hebrew, english","assassin, prostitute, sex trafficking"
Bloodsport: The Dark Kumite,1999-03-30,en,Bloodsport: The Dark Kumite,"Agent John Keller goes undercover into the tough prison known as Fuego Penal to find out about the corpses of prisoners disappearing without a trace. There he gets involved in a dangerous tournament arranged by a man named Justin Caesar, where the prisoners are forced fight to death.",Undercover on death row...the final contest is about to begin.,"Action, Thriller",english,"martial arts, sports, fistfight, mixed martial arts, tournament, underground fighting, action hero"
White Christmas,1954-10-14,en,White Christmas,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,THE MOST FABULOUS MUSIC-AND-MIRTH SHOW IN MOTION PICTURE HISTORY!,"Comedy, Music, Romance",english,"sibling relationship, show business, musical, sister, matchmaking, post world war ii, song and dance, floor show, ski lodge, christmas, failing business, sister act, war buddies, retired general"
An American Summer,1991-02-24,en,An American Summer,"In this youthful drama, Tom, a 14- year-old who's parents have just divorced, is abruptly uprooted from his wealthy Chicago home and sent to the strange land of LA to live in the far-out beach bungalow of his aunt, an aging hippie still stuck in a by-gone era. He is unhappy with the new arrangement and finds his new bohemian lifestyle strange and the activities of his new peers, stupid. His life begins to change a bit when he befriends a young surfer named Fin. At first he thinks of the fun-loving Fin as a real dolt, but later he admits he was wrong. Like the Tom Sawyer and Huck Finn characters on which they are loosely based, the two new friends soon find themselves having a series of adventures, some of them dangerous; by the summer's end, Tom finds himself wiser, accustomed to California, and a lot more grown up.",Boys Will Be Boys.,"Comedy, Drama","english, spanish","surfing, california"
Return of the Living Dead: Necropolis,2005-10-15,en,Return of the Living Dead: Necropolis,"A group of teenagers who, in an attempt to rescue their friend from an evil corporation, end up releasing a horde of blood thirsty zombies.",You cannot kill what is already dead.,"Horror, Comedy, Action",english,"gore, undead, sequel, zombie, living dead"
