title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Pupa,2020-09-18,en,Pupa,Pupa symbolises a dark room; a room that contains the mental conflicts of human identity. Our protagonist is an artist who is left alone in that chaotic space. His disturbed mind undergoes a drastic change when he is exposed to a metaphoric memory.,A Reverie of Rebirth,Drama,malayalam,"self-discovery, art"
The X Species,2018-01-01,en,The X Species,An archaeological expedition uncovers a prehistoric hominid burial site. When their team is unexpectedly attacked they are forced to take refuge in the catacombs of an unmapped cave. One by one they fall to an ancient predator.,Sometimes the unknown should remain unknown.,"Mystery, Science Fiction, Thriller",english,"new mexico, camping, cave, woods, mockumentary, creature, found footage, ancient, unknown species"
Mr. Billion,1977-03-03,en,Mr. Billion,"A fortuneless auto mechanic inherits a billion dollar financial empire when his uncle dies. However, there is one stipulation. In order to claim his fortune he must arrive in San Francisco within twenty days, and along the way there are a number of people who want to ""share"" his wealth.",The eyes of the nation are on . . . MR. BILLION!,"Action, Comedy","english, italian","mechanic, billionaire"
Generation Wealth,2018-07-20,en,Generation Wealth,"Over the past 25 years, Lauren Greenfield's documentary photography and film projects have explored youth culture, gender, body image, and affluence. Underscoring the ever-increasing gap between the haves and the have-nots, portraits reveal a focus on cultivating image over substance, where subjects unable to attain actual wealth instead settle for its trappings, no matter their ability to pay for it.",The American dream just keeps getting more expensive,Documentary,english,"capitalism, materialism, consumerism, late stage capitalism"
Tom and Jerry: Snowman's Land,2022-09-06,en,Tom and Jerry: Snowman's Land,"It’s time to chase that holiday spirit with Tom and Jerry! With magic in the air, Jerry and his nephew, Tuffy, make a snow mouse that miraculously comes to life! To keep their new friend, Larry the snow mouse from melting, Tuffy and Jerry must race him to the fabled Snowman’s Village. In hot pursuit, Tom and devious Dr. Doublevay have their own plans for Larry’s magic.",Ready...Set...Snow.,"Family, Comedy, Animation, Adventure",english,"magic, holiday, snowman, cat and mouse"
Million Dollar Arm,2014-05-09,en,Million Dollar Arm,"In a last-ditch effort to save his career, sports agent JB Bernstein dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.","Sometimes to win, sometimes you have to change the game",Drama,"hindi, english","sports, baseball, cricket, based on true story, india, sports agent, duringcreditsstinger"
Dangerous Liaisons,1988-12-21,en,Dangerous Liaisons,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.",Lust. Seduction. Revenge. The game as you've never seen it played before.,"Drama, Romance",english,"plan, lovesickness, based on novel or book, cheating, cynic, sexuality, boredom, praise, arranged marriage, lover, ladykiller, fiancé, seduction, love letter, courtly life, gender roles, 18th century"
Prince of Paris,2019-05-08,fr,Pariisin prinssi,"A film about Princesse, a 9-year-old Cameroonian, and her father, who leaves Africa to make their dreams come true. The two keep in touch through numerous phone calls.  Princesse goes to school while her father is trying to make it in Paris cleaning streets and selling souvenirs that enable him to send nice clothes to his daughter – and a smartphone that she’s been begging for.","A story of love, leaving and longing",Documentary,"english, french","immigration, parenthood, long distance telephone"
Zombie Farm,2007-04-21,en,Zombie Farm,Hell has been unleashed on the small town of Muerto Verde when inbred cannibal farmers are turned into zombies after Taliban warriors poison the local water supply. The only hope for humanity are two FBI agents and four party-crazed college students.,The Harvest Has Begun,Horror,english,zombie
Gable and Lombard,1976-02-11,en,Gable and Lombard,A biography about the love affair between 1930s Hollywood superstars Clark Gable and Carole Lombard.,They had more than love... they had FUN!,"Drama, Romance",english,"scavenger hunt, love, tragic love, hollywood, superstar, 1930s"
Born Yesterday,1950-12-25,en,Born Yesterday,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",It's Here AT LAST!,"Comedy, Drama, Romance",english,"washington dc, usa, congress, tycoon, based on play or musical, political satire"
