title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Mission: Impossible - Fallout,2018-07-13,en,Mission: Impossible - Fallout,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",Some missions are not a choice.,"Action, Adventure","english, french","race against time, london, england, helicopter, paris, france, plutonium, gun, spy, countdown, norway, sequel, motorcycle, bomb remote detonator, handgun, hand to hand combat, kashmir"
Imperium,2016-08-19,en,Imperium,"Nate Foster, a young, idealistic FBI agent, goes undercover to take down a radical white supremacy terrorist group. The bright up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy. Inspired by real events.",Defend your nation. Become your enemy.,"Crime, Drama, Thriller, Mystery",english,"neo-nazism, undercover, fbi, oklahoma city bombing, racism, terrorism, analyst, white supremacy, domestic terrorism, skinheads"
The Firebrand,1962-08-07,en,The Firebrand,A Mexican outlaw begins a one-man war against corrupt California Rangers who are harassing Hispanic locals during the California Gold Rush.,His rebel cry of GRINGO set off a torch of terror across the Godless wilderness of Old California!,Western,english,"gold rush, vigilante justice"
Sky High,2005-07-29,en,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",Saving The World... One Homework Assignment At A Time.,"Adventure, Comedy, Family",english,"high school, friendship, mission, superhero, loyalty, mockery, heroism, friends, super power"
I Went Down,1997-10-03,en,I Went Down,"Fresh out of prison, Git rescues a former best friend (now living with Git's girlfriend) from a beating at the hands of loan sharks. He's now in trouble with the mob boss, Tom French, who sends Git to Cork with another debtor, Bunny Kelly, to find a guy named Frank Grogan, and take him to a man with a friendly face at a shack across a bog. It's a tougher assignment than it seems: Git's a novice, Bunny's prone to rash acts, Frank doesn't want to be found (and once he's found, he has no money), and maybe Tom's planning to murder Frank, which puts Git in a moral dilemma. Then, there's the long-ago disappearance of Sonny Mulligan. What's a decent and stand-up lad to do?","One doesn't count, the other can't. Dis-organised crime.","Action, Comedy, Crime",english,"hostage, gangster, release from prison, dublin, ireland, hoodlum"
At Sword's Point,1952-04-22,en,At Sword's Point,"France, 1648: Richelieu and Louis XIII are dead, the new king is a minor, and the Duc de Lavalle is in virtually open rebellion, scheming to seize power. As a last resort, Queen Anne summons the heirs of the original Musketeers to her aid...including Claire, daughter of Athos, who when she chooses can miraculously pass as a boy, and wields as fine a sword as any. All their skills will be needed for a battle against increasing odds. One for all and all for one! Written by Rod Crawford",Hot-blooded adventure!,Adventure,english,musketeer
Blood Ties,2013-08-22,en,Blood Ties,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",Crime runs in the family.,"Thriller, Crime, Drama","spanish, english, italian",1970s
Monster Island,2019-06-01,en,Monster Island,Gigantic monsters threaten to destroy everything in their path as mankind remains defenseless,The heavyweight championship has begun!,"Science Fiction, TV Movie",english,kaiju
The Lost Squadron,1932-03-12,en,The Lost Squadron,"When World War I comes to an end, three pilots find themselves on hard times. They wind up in Hollywood, where they work as stunt fliers for a sadistic director.","-Not a War Picture- But a war picture in the making! -Planes flying, crashing, while below cameras grind, and an inhuman genius drives men to destruction for the supreme thrill!","Drama, Action, War, History",english,"pilot, hollywood, pre-code, stunt pilot"
Leap Year,2010-01-08,en,Leap Year,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.,"Romance, Comedy",english,"wales, taxi, marriage proposal, airplane, road trip, wedding ring, wedding, proposal, cardiologist, ireland, cliffs, opposites attract, odd couple"
"Hook, Line and Sinker",1969-06-06,en,"Hook, Line and Sinker","Told he is terminally ill, an insurance executive goes on a credit-card spending spree--and then learns his medical diagnosis was a mistake.",Jerry's Living It Up Like Crazy!,Comedy,english,"infidelity, fraud, terminal illness, flashback, debt, doctor, surgery"
Marvin the Martian & K9: 50 Years on Earth,1998-07-21,en,Marvin the Martian & K9: 50 Years on Earth,"Collection of classic cartoons including ""Haredevil Hare"", ""Mad as a Mars Hare"", ""Duck Dodgers and the Return of the 24 1/2th Century"", ""Spacedout Bunny"", ""Lumber Jack Rabbit"", and ""Hyde and Go Tweet"".","Six uncut fully animated cartoons, featuring that pint-sized alien, Marvin the Martian",Animation,english,"cartoon, martian"
The Yellow Cab Man,1950-03-25,en,The Yellow Cab Man,"Pirdy is accident prone. He has been denied insurance from every company in town because he is always getting hit or hurt in some way. On the day that he meets the lovely Ellen of the Yellow Cab Co., he also meets the crooked lawyer named Creavy. Pirdy is an inventor and when Creavy learns about elastic-glass, his new invention, he makes plans to steal the process. With the help of another con man named Doksteader, and the boys, he will steal this million dollar invention no matter who gets hurt.",RIDE AND ROAR WITH RED SKELTON,"Comedy, Drama, Romance",english,"taxi, taxi driver"
Doc,1971-08-01,en,Doc,"A revisionist western, ""Doc"" is Frank Perry's attempt to accurately portray the lives and persons of Doc Holliday, Wyatt Earp, and the now-legendary events that took place in the town of Tombstone, starring Stacy Keach, Faye Dunaway and Harris Yulin.",For the past 90 years these three people have been heroes. Until now!,Western,english,"gunslinger, wyatt earp, doc holliday, gun fight, ok corral, fallen woman, revisionist western"
Nomad: In the Footsteps of Bruce Chatwin,2019-04-28,en,Nomad: In the Footsteps of Bruce Chatwin,"When Bruce Chatwin was dying of AIDS, his friend Werner Herzog made a final visit. As a parting gift, Chatwin gave him his rucksack.  Thirty years later, Herzog sets out on his own journey, inspired by Chatwin’s passion for the nomadic life, uncovering stories of lost tribes, wanderers and dreamers.",The world reveals itself to those who travel on foot,Documentary,"german, english","aids, social & cultural documentary, bruce chatwin"
Broadminded,1931-08-01,en,Broadminded,"Jack's father lowers the boom when his irresponsible rich-kid ends up in jail after a night of debauchery. The father appoints Ossie, Jack's cousin, as guardian, not realizing that Ossie is just as bad. They set off on a transcontinental trip with mischief on their minds.",When he opens his eyes he looks for girls! When he opens his mouth...you'll look for laughs...and get plenty!,Comedy,english,"man child, pre-code, debauchery, tall tale, idle rich"
Tower of London,1939-11-17,en,Tower of London,"In the 15th century Richard Duke of Gloucester, aided by his club-footed executioner Mord, eliminates those ahead of him in succession to the throne, then occupied by his brother King Edward IV of England. As each murder is accomplished he takes particular delight in removing small figurines, each resembling one of the successors, from a throne-room dollhouse, until he alone remains. After the death of Edward he becomes Richard III, King of England, and need only defeat the exiled Henry Tudor to retain power.","See: VAST ARMIES CLASH BEFORE YOUR EYES! See: AX-COLD MASTERS OF TREACHERY! See: DARK SECRETS BEHIND GRIM TOWERS! See: CRUELTY, COLD AS A HEADSMAN'S AX! See: BLOOD BOILING, LUSTY EXCITEMENT!","History, Drama",english,"brother, murder, decapitation, black and white, king, battle, deformed man, tower of london, 15th century"
40 Days at Base Camp,2011-10-01,en,40 Days at Base Camp,"At 18,000 feet above sea level and over the course of 40 days last Spring, documentary filmmaker Dianne Whelan immersed herself in the challenging and captivating world of base camp at Mt. Everest. With spectacular footage of the mountains’ landscape as a backdrop, 40 DAYS AT BASE CAMP is an intriguing and intimate portrayal of three climbing teams and their journey to the peak.",a documentary filmed on mount everest by dianne whelan,Documentary,"spanish, english, italian, nepali","mountaineer, climbing, travel, woman director, mount everest, alpinist"
The Royal Hunt of the Sun,1969-10-05,en,The Royal Hunt of the Sun,The Spanish explorer Pizarro captures the Inca god-chief Atahualpa and promises to free him upon the delivery of a hoard of gold. But Pizarro finds himself torn between his desire for conquest and his sense of honor after friendship and respect develops between captive and captor.,The birth of a hero. The death of an empire. The adventure of a lifetime.,"Adventure, Drama","english, german","gold, peru, based on play or musical, incan empire, south america, rope bridge, atahualpa, 16th century, conquistador"
Calm Yourself,1935-06-28,en,Calm Yourself,"A recently-fired advertising executive starts his own company, Confidential Services, to help clients solve their unusual and problematic situations.",Metro-Goldwyn-Mayer's Laugh Riot,"Romance, Comedy",english,"romance, secretary, advertising agency"
Strategic Air Command,1955-07-12,en,Strategic Air Command,"Air Force reservist Lt. Col. Robert ""Dutch"" Holland is recalled into active duty at the peak of his professional baseball career.",Soar to New Heights of Adventure!,"Action, Drama",english,u.s. air force
Saturday the 14th,1981-10-30,en,Saturday the 14th,"After his family moves to a new house, a young boy discovers a mysterious book that details a curse hanging over the date of Saturday the 14th. Opening the book releases a band of monsters into the house and the family must join together to save themselves and their neighborhood.",Just when you thought it was safe to look at the calendar again.,"Comedy, Fantasy, Horror",english,"monster, alcohol, haunted house, clowning, search, spoof, creature, shark, will, attic"
Mickey's Christmas Carol,1983-10-19,en,Mickey's Christmas Carol,"Ebenezer Scrooge is far too greedy to understand that Christmas is a time for kindness and generosity. But with the guidance of some new found friends, Scrooge learns to embrace the spirit of the season. A retelling of the classic Dickens tale with Disney's classic characters.",All your Disney pals star in this retelling of a Dickens Christmas classic.,"Family, Animation",english,"cartoon, anthropomorphism, cartoon mouse, ghost, cartoon dog, cartoon duck, christmas, carol, short film, featurette"
47 Meters Down,2017-05-25,en,47 Meters Down,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",No way out. No way up. No chance in hell.,"Thriller, Adventure, Horror","english, spanish","sibling relationship, diving, shark attack, cage, creature, shark, trapped underwater "
The Hunters,1958-09-01,en,The Hunters,"With its electrifying flight sequences and high-powered cast, The Hunters is a mesmerizing film based on the best-selling novel by veteran fighter pilot James Salter. Set during the height of the Korean War, the story centers on Major Cleve Saville (Robert Mitchum), a master of the newly operational F-86 Sabre fighter jets. But adept as he is at flying, Saville¹s personal life takes a nosedive when he falls in love with his wingman¹s (Lee Philips) beautiful wife (May Britt). To make matters worse, Saville must cope with a loud-mouthed rookie (Robert Wagner) in a daring rescue mission that threatens all their lives in this well-crafted war drama.",Mightiest thrill-shocked adventure spectacle of the super-sonic age !,"War, Action, Drama",english,"airplane, based on novel or book, korean war"
